127.0.0.1 - - [21/Jul/2015:14:47:23 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
192.168.123.146 - - [21/Jul/2015:14:48:09 +0200] "GET /jira/s/0870fbacd63c2685a1fe89c1a6ba8b08-CDN/fr_FR3c00tt/64019/3/6.4.4/_/download/resources/com.atlassian.jira.gadgets:search-results-component/static/components/searchresults/SearchResultsConfig.css HTTP/1.1" 200 560
192.168.123.146 - - [21/Jul/2015:14:48:09 +0200] "GET /jira/s/11e2f520f93fe19bc0ea687ac7a2b276-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:autocomplete/autocomplete.css HTTP/1.1" 200 2310
192.168.123.146 - - [21/Jul/2015:14:48:09 +0200] "GET /jira/s/1366e6b84cfd7194773313bdcecfe9a4-CDN/fr_FR3c00tt/64019/3/6.4.4/_/download/resources/com.atlassian.jira.gadgets:stats-dashboard-item-resources/static/dashboarditem/stats/stats.css HTTP/1.1" 200 890
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/344bcae287252e8322b4df871d643508-CDN/fr_FR3c00tt/64019/3/5.7.27/_/download/resources/com.atlassian.auiplugin:aui-help/adg-help.css HTTP/1.1" 200 3103
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/0.64/_/download/resources/com.atlassian.plugins.helptips.jira-help-tips:common/helptip.css HTTP/1.1" 200 361
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/ea5b360a32f5e732f8f76760eb8c2f69-CDN/fr_FR3c00tt/64019/3/6.4.4/_/download/resources/com.atlassian.jira.gadgets:two-dimensional-stats-dashboard-item-resources/static/dashboarditem/two-dimensional-stats/TwoDimensionalStats.css HTTP/1.1" 200 3912
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/4.3.5/_/download/resources/com.atlassian.applinks.applinks-plugin:applinks-public/applinks.public.css HTTP/1.1" 200 1128
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/344bcae287252e8322b4df871d643508-CDN/fr_FR3c00tt/64019/3/5.7.27/_/download/resources/com.atlassian.auiplugin:aui-experimental-restfultable/experimental-restfultable.css HTTP/1.1" 200 4936
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/cbf20eb72427076d761f47b872b31129-CDN/fr_FR3c00tt/64019/3/2.3.8-D20150310T003755/_/download/resources/com.atlassian.jira.plugins.jira-development-integration-plugin:devstatus-dialog-resources/devstatus-cta-dialog.css HTTP/1.1" 200 2953
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/344bcae287252e8322b4df871d643508-CDN/fr_FR3c00tt/64019/3/5.7.27/_/download/resources/com.atlassian.auiplugin:aui-experimental-expander/aui-experimental-expander.css HTTP/1.1" 200 1273
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/344bcae287252e8322b4df871d643508-CDN/fr_FR3c00tt/64019/3/5.7.27/_/download/resources/com.atlassian.auiplugin:aui-experimental-progress-indicator/aui-experimental-progress-indicator.css HTTP/1.1" 200 1701
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/cbf20eb72427076d761f47b872b31129-CDN/fr_FR3c00tt/64019/3/2.3.8-D20150310T003755/_/download/resources/com.atlassian.jira.plugins.jira-development-integration-plugin:devstatus-dialog-resources/devstatus-viewissue-colours.css HTTP/1.1" 200 2328
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/3.10.10/_/download/resources/com.atlassian.gadgets.dashboard:gadget-dashboard-resources/gadgets.css HTTP/1.1" 200 178
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/cbf20eb72427076d761f47b872b31129-CDN/fr_FR3c00tt/64019/3/2.3.8-D20150310T003755/_/download/resources/com.atlassian.jira.plugins.jira-development-integration-plugin:devstatus-dialog-resources/devstatus-panel.css HTTP/1.1" 200 5108
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/e388fe645a963f66508a2db12ba4430c-CDN/fr_FR3c00tt/64019/3/2.3.8-D20150310T003755/_/download/resources/com.atlassian.jira.plugins.jira-development-integration-plugin:devstatus-cta-tooltip-resources/devstatus-cta-tooltip.css HTTP/1.1" 200 622
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/2.0.16/_/download/resources/com.atlassian.devrel.developer-toolbox-plugin:dt-toolbar/toolbar.css?devtoolbar=true HTTP/1.1" 200 6577
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/3.5/_/download/resources/com.atlassian.jira.plugins.greenhopper-marketing-plugin:gh-advertising-resources/greenhopper-advertising.css?jag_disabled_marketing=true HTTP/1.1" 200 5
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/1.2.18/_/download/resources/com.atlassian.plugins.jira-project-creation:project-creation-resources/project-creation.css HTTP/1.1" 200 719
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/3.13/_/download/resources/com.atlassian.jira.project-templates-plugin:project-templates-plugin-resources/project-templates-plugin.css HTTP/1.1" 200 3337
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/3.53/_/download/resources/com.atlassian.analytics.analytics-client:policy-update/policy-update.css HTTP/1.1" 200 5
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/3.3.13/_/download/resources/com.atlassian.plugins.atlassian-nav-links-plugin:rotp-projectshortcuts/projectshortcuts.css HTTP/1.1" 200 5201
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/6.4.4/_/download/resources/com.atlassian.jira.jira-issue-link-web-plugin:issue-link-web-link/issuelink-weblink.css HTTP/1.1" 200 546
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/2.4/_/download/resources/com.atlassian.labs.fastdev-plugin:livereload-resources/dttoolbar.css HTTP/1.1" 200 1157
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/8ef423d89b9a305482d58579f07d5564-CDN/fr_FR3c00tt/64019/3/1.19.2/_/download/resources/com.atlassian.jira.plugins.jira-admin-helper-plugin:whereismycf-resources/whereismycf.css HTTP/1.1" 200 3300
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/3.13/_/download/resources/com.atlassian.jira-core-project-templates:jira-sample-project-resources/core-project-templates.css HTTP/1.1" 200 2354
192.168.123.146 - - [21/Jul/2015:14:48:10 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/6.4.4/_/download/resources/com.atlassian.jira.jira-issue-link-applinks-common-plugin:issue-link-applinks/issuelink-applinks.css HTTP/1.1" 200 198
